,FECHA,TMAX,TMIN,T_AVE,NOMBRE
43,Jan-23,28.6,23.1,25.85,AEROPARQUE AERO
1502,Feb-23,27.0,20.1,23.55,NUEVE DE JULIO
1137,Feb-23,28.4,21.3,24.85,MORON AERO
772,Feb-23,28.0,23.2,25.6,EL PALOMAR AERO
407,Feb-23,28.1,23.7,25.9,BUENOS AIRES OBSERVATORIO
42,Feb-23,27.4,23.2,25.3,AEROPARQUE AERO
1501,Feb-23,27.4,19.4,23.4,NUEVE DE JULIO
1136,Feb-23,26.1,22.3,24.200000000000003,MORON AERO
771,Feb-23,27.4,21.4,24.4,EL PALOMAR AERO
406,Feb-23,28.0,21.6,24.8,BUENOS AIRES OBSERVATORIO
41,Feb-23,27.0,22.2,24.6,AEROPARQUE AERO
1500,Feb-23,28.8,16.6,22.700000000000003,NUEVE DE JULIO
1135,Feb-23,28.0,18.8,23.4,MORON AERO
770,Feb-23,28.5,19.0,23.75,EL PALOMAR AERO
405,Feb-23,27.2,18.8,23.0,BUENOS AIRES OBSERVATORIO
40,Feb-23,26.6,19.2,22.9,AEROPARQUE AERO
1499,Feb-23,30.8,15.6,23.2,NUEVE DE JULIO
1134,Feb-23,28.5,15.5,22.0,MORON AERO
769,Feb-23,29.3,16.0,22.65,EL PALOMAR AERO
404,Feb-23,29.8,17.8,23.8,BUENOS AIRES OBSERVATORIO
39,Feb-23,29.8,18.8,24.3,AEROPARQUE AERO
1498,Feb-23,32.0,17.6,24.8,NUEVE DE JULIO
1133,Feb-23,31.6,16.3,23.950000000000003,MORON AERO
768,Feb-23,32.0,13.3,22.65,EL PALOMAR AERO
403,Feb-23,32.0,17.5,24.75,BUENOS AIRES OBSERVATORIO
38,Feb-23,29.1,19.2,24.15,AEROPARQUE AERO
1497,Feb-23,34.5,17.3,25.9,NUEVE DE JULIO
1132,Feb-23,34.6,20.9,27.75,MORON AERO
767,Feb-23,33.5,16.2,24.85,EL PALOMAR AERO
402,Feb-23,33.3,22.0,27.65,BUENOS AIRES OBSERVATORIO
37,Feb-23,31.6,22.3,26.950000000000003,AEROPARQUE AERO
1496,Feb-23,36.0,19.0,27.5,NUEVE DE JULIO
1131,Feb-23,36.7,24.3,30.5,MORON AERO
766,Feb-23,36.3,23.0,29.65,EL PALOMAR AERO
401,Feb-23,35.3,24.0,29.65,BUENOS AIRES OBSERVATORIO
36,Feb-23,32.1,23.8,27.950000000000003,AEROPARQUE AERO
1495,Feb-23,33.3,22.3,27.8,NUEVE DE JULIO
1130,Feb-23,33.0,24.0,28.5,MORON AERO
765,Feb-23,33.5,22.5,28.0,EL PALOMAR AERO
400,Feb-23,32.7,25.8,29.25,BUENOS AIRES OBSERVATORIO
35,Feb-23,31.3,25.2,28.25,AEROPARQUE AERO
1494,Feb-23,36.5,19.5,28.0,NUEVE DE JULIO
1129,Feb-23,36.0,19.4,27.7,MORON AERO
764,Feb-23,35.3,18.0,26.65,EL PALOMAR AERO
399,Feb-23,34.2,21.7,27.950000000000003,BUENOS AIRES OBSERVATORIO
34,Feb-23,32.1,22.8,27.450000000000003,AEROPARQUE AERO
1493,Feb-23,37.1,20.3,28.700000000000003,NUEVE DE JULIO
1128,Feb-23,37.5,24.1,30.8,MORON AERO
763,Feb-23,37.5,19.4,28.45,EL PALOMAR AERO
398,Feb-23,36.4,24.4,30.4,BUENOS AIRES OBSERVATORIO
33,Feb-23,34.1,25.2,29.65,AEROPARQUE AERO
1492,Feb-23,38.5,21.3,29.9,NUEVE DE JULIO
1127,Feb-23,38.8,25.1,31.95,MORON AERO
762,Feb-23,38.5,21.0,29.75,EL PALOMAR AERO
397,Feb-23,37.8,25.5,31.65,BUENOS AIRES OBSERVATORIO
32,Feb-23,36.6,27.0,31.8,AEROPARQUE AERO
1491,Feb-23,38.8,21.7,30.25,NUEVE DE JULIO
1126,Feb-23,40.0,29.0,34.5,MORON AERO
761,Feb-23,39.5,28.5,34.0,EL PALOMAR AERO
396,Feb-23,38.1,28.5,33.3,BUENOS AIRES OBSERVATORIO
31,Feb-23,36.5,27.9,32.2,AEROPARQUE AERO
1490,Feb-23,32.6,18.7,25.65,NUEVE DE JULIO
1125,Feb-23,36.5,22.4,29.45,MORON AERO
760,Feb-23,34.0,22.4,28.2,EL PALOMAR AERO
395,Feb-23,34.5,23.4,28.95,BUENOS AIRES OBSERVATORIO
30,Feb-23,32.2,23.1,27.65,AEROPARQUE AERO
1489,Feb-23,30.4,15.8,23.1,NUEVE DE JULIO
1124,Feb-23,33.6,20.5,27.05,MORON AERO
759,Feb-23,33.0,17.2,25.1,EL PALOMAR AERO
394,Feb-23,34.0,21.5,27.75,BUENOS AIRES OBSERVATORIO
29,Feb-23,33.8,22.8,28.3,AEROPARQUE AERO
1488,Feb-23,33.4,12.5,22.95,NUEVE DE JULIO
1123,Feb-23,33.0,18.4,25.7,MORON AERO
758,Feb-23,32.5,17.7,25.1,EL PALOMAR AERO
393,Feb-23,30.1,20.0,25.05,BUENOS AIRES OBSERVATORIO
28,Feb-23,28.8,20.8,24.8,AEROPARQUE AERO
1487,Feb-23,26.2,13.3,19.75,NUEVE DE JULIO
1122,Feb-23,27.7,13.1,20.4,MORON AERO
757,Feb-23,27.0,14.0,20.5,EL PALOMAR AERO
392,Feb-23,27.3,14.0,20.65,BUENOS AIRES OBSERVATORIO
27,Feb-23,27.8,14.0,20.9,AEROPARQUE AERO
1486,Feb-23,18.4,5.8,12.1,NUEVE DE JULIO
1121,Feb-23,16.4,6.9,11.65,MORON AERO
756,Feb-23,17.0,7.5,12.25,EL PALOMAR AERO
391,Feb-23,17.1,7.9,12.5,BUENOS AIRES OBSERVATORIO
26,Feb-23,15.9,8.3,12.1,AEROPARQUE AERO
1485,Feb-23,25.0,3.9,14.45,NUEVE DE JULIO
1120,Feb-23,23.0,6.7,14.85,MORON AERO
755,Feb-23,23.2,6.8,15.0,EL PALOMAR AERO
390,Feb-23,23.3,8.8,16.05,BUENOS AIRES OBSERVATORIO
25,Feb-23,23.7,9.4,16.55,AEROPARQUE AERO
1484,Feb-23,28.2,6.3,17.25,NUEVE DE JULIO
1119,Feb-23,26.3,12.4,19.35,MORON AERO
754,Feb-23,26.5,12.3,19.4,EL PALOMAR AERO
389,Feb-23,26.8,14.7,20.75,BUENOS AIRES OBSERVATORIO
24,Feb-23,25.6,15.8,20.700000000000003,AEROPARQUE AERO
1483,Feb-23,31.1,10.5,20.8,NUEVE DE JULIO
1118,Feb-23,29.0,13.1,21.05,MORON AERO
753,Feb-23,29.6,10.0,19.8,EL PALOMAR AERO
388,Feb-23,29.0,15.8,22.4,BUENOS AIRES OBSERVATORIO
23,Feb-23,27.6,18.3,22.950000000000003,AEROPARQUE AERO
1482,Feb-23,33.6,13.6,23.6,NUEVE DE JULIO
1117,Feb-23,30.5,19.9,25.2,MORON AERO
752,Feb-23,31.1,18.9,25.0,EL PALOMAR AERO
387,Feb-23,30.6,20.4,25.5,BUENOS AIRES OBSERVATORIO
22,Feb-23,29.5,20.4,24.95,AEROPARQUE AERO
1481,Feb-23,35.5,16.3,25.9,NUEVE DE JULIO
1116,Feb-23,33.6,21.0,27.3,MORON AERO
751,Feb-23,33.2,18.0,25.6,EL PALOMAR AERO
386,Feb-23,33.2,21.2,27.200000000000003,BUENOS AIRES OBSERVATORIO
21,Feb-23,32.6,21.4,27.0,AEROPARQUE AERO
1480,Feb-23,33.7,14.9,24.3,NUEVE DE JULIO
1115,Feb-23,30.6,19.5,25.05,MORON AERO
750,Feb-23,31.5,17.3,24.4,EL PALOMAR AERO
385,Feb-23,31.0,21.3,26.15,BUENOS AIRES OBSERVATORIO
20,Feb-23,31.7,22.4,27.05,AEROPARQUE AERO
1479,Feb-23,34.5,18.1,26.3,NUEVE DE JULIO
1114,Feb-23,33.3,19.1,26.2,MORON AERO
749,Feb-23,33.1,17.5,25.3,EL PALOMAR AERO
384,Feb-23,32.7,20.8,26.75,BUENOS AIRES OBSERVATORIO
19,Feb-23,29.6,22.3,25.950000000000003,AEROPARQUE AERO
1478,Feb-23,36.0,15.6,25.8,NUEVE DE JULIO
1113,Feb-23,34.6,17.9,26.25,MORON AERO
748,Feb-23,34.4,17.7,26.05,EL PALOMAR AERO
383,Feb-23,33.2,21.3,27.25,BUENOS AIRES OBSERVATORIO
18,Feb-23,30.1,20.8,25.450000000000003,AEROPARQUE AERO
1477,Feb-23,30.0,12.9,21.45,NUEVE DE JULIO
1112,Feb-23,29.8,16.4,23.1,MORON AERO
747,Feb-23,28.5,16.6,22.55,EL PALOMAR AERO
382,Feb-23,28.0,17.9,22.95,BUENOS AIRES OBSERVATORIO
17,Feb-23,26.2,18.0,22.1,AEROPARQUE AERO
1476,Feb-23,33.0,12.9,22.95,NUEVE DE JULIO
1111,Feb-23,31.4,19.4,25.4,MORON AERO
746,Feb-23,32.0,18.0,25.0,EL PALOMAR AERO
381,Feb-23,31.0,20.5,25.75,BUENOS AIRES OBSERVATORIO
16,Feb-23,28.1,20.5,24.3,AEROPARQUE AERO
1475,Feb-23,38.5,17.8,28.15,NUEVE DE JULIO
1110,Feb-23,36.8,21.7,29.25,MORON AERO
745,Feb-23,37.0,20.2,28.6,EL PALOMAR AERO
380,Feb-23,36.4,22.4,29.4,BUENOS AIRES OBSERVATORIO
15,Feb-23,32.6,22.5,27.55,AEROPARQUE AERO
1474,Mar-23,37.9,20.7,29.3,NUEVE DE JULIO
1109,Mar-23,37.8,24.3,31.05,MORON AERO
744,Mar-23,37.9,23.0,30.45,EL PALOMAR AERO
379,Mar-23,37.6,25.5,31.55,BUENOS AIRES OBSERVATORIO
14,Mar-23,34.1,23.5,28.8,AEROPARQUE AERO
1473,Mar-23,40.0,21.4,30.7,NUEVE DE JULIO
1108,Mar-23,38.9,24.1,31.5,MORON AERO
743,Mar-23,39.5,23.0,31.25,EL PALOMAR AERO
378,Mar-23,38.0,25.1,31.55,BUENOS AIRES OBSERVATORIO
13,Mar-23,34.3,23.5,28.9,AEROPARQUE AERO
1472,Mar-23,38.3,18.6,28.45,NUEVE DE JULIO
1107,Mar-23,36.0,24.4,30.2,MORON AERO
742,Mar-23,36.0,22.5,29.25,EL PALOMAR AERO
377,Mar-23,35.4,25.4,30.4,BUENOS AIRES OBSERVATORIO
12,Mar-23,32.1,23.9,28.0,AEROPARQUE AERO
1471,Mar-23,32.5,22.3,27.4,NUEVE DE JULIO
1106,Mar-23,34.8,24.4,29.6,MORON AERO
741,Mar-23,34.9,23.3,29.1,EL PALOMAR AERO
376,Mar-23,36.3,24.6,30.45,BUENOS AIRES OBSERVATORIO
11,Mar-23,34.7,23.6,29.15,AEROPARQUE AERO
1470,Mar-23,38.1,17.9,28.0,NUEVE DE JULIO
1105,Mar-23,35.0,22.4,28.7,MORON AERO
740,Mar-23,33.5,23.2,28.35,EL PALOMAR AERO
375,Mar-23,32.8,23.5,28.15,BUENOS AIRES OBSERVATORIO
10,Mar-23,29.7,23.1,26.4,AEROPARQUE AERO
1469,Mar-23,37.9,21.6,29.75,NUEVE DE JULIO
1104,Mar-23,34.4,25.5,29.95,MORON AERO
739,Mar-23,38.3,24.6,31.45,EL PALOMAR AERO
374,Mar-23,33.6,25.4,29.5,BUENOS AIRES OBSERVATORIO
9,Mar-23,32.1,25.1,28.6,AEROPARQUE AERO
1468,Mar-23,33.6,20.5,27.05,NUEVE DE JULIO
1103,Mar-23,33.7,21.8,27.75,MORON AERO
738,Mar-23,33.8,21.4,27.6,EL PALOMAR AERO
373,Mar-23,33.0,21.8,27.4,BUENOS AIRES OBSERVATORIO
8,Mar-23,30.6,22.2,26.4,AEROPARQUE AERO
1467,Mar-23,32.6,15.8,24.200000000000003,NUEVE DE JULIO
1102,Mar-23,34.2,22.9,28.55,MORON AERO
737,Mar-23,34.4,20.2,27.3,EL PALOMAR AERO
372,Mar-23,33.7,23.7,28.700000000000003,BUENOS AIRES OBSERVATORIO
7,Mar-23,30.5,24.8,27.65,AEROPARQUE AERO
1466,Mar-23,36.0,16.9,26.45,NUEVE DE JULIO
1101,Mar-23,33.5,23.2,28.35,MORON AERO
736,Mar-23,33.5,20.1,26.8,EL PALOMAR AERO
371,Mar-23,33.3,23.8,28.55,BUENOS AIRES OBSERVATORIO
6,Mar-23,31.6,24.1,27.85,AEROPARQUE AERO
1465,Mar-23,35.7,19.2,27.450000000000003,NUEVE DE JULIO
1100,Mar-23,38.7,25.9,32.3,MORON AERO
735,Mar-23,38.6,25.7,32.15,EL PALOMAR AERO
370,Mar-23,36.8,26.0,31.4,BUENOS AIRES OBSERVATORIO
5,Mar-23,33.1,25.1,29.1,AEROPARQUE AERO
1464,Mar-23,39.4,19.9,29.65,NUEVE DE JULIO
1099,Mar-23,40.0,26.0,33.0,MORON AERO
734,Mar-23,39.5,23.2,31.35,EL PALOMAR AERO
369,Mar-23,38.9,25.5,32.2,BUENOS AIRES OBSERVATORIO
4,Mar-23,35.6,26.5,31.05,AEROPARQUE AERO
1463,Mar-23,39.6,23.6,31.6,NUEVE DE JULIO
1098,Mar-23,37.6,27.8,32.7,MORON AERO
733,Mar-23,37.0,26.5,31.75,EL PALOMAR AERO
368,Mar-23,36.5,28.0,32.25,BUENOS AIRES OBSERVATORIO
3,Mar-23,34.6,27.8,31.200000000000003,AEROPARQUE AERO
1462,Mar-23,38.1,22.1,30.1,NUEVE DE JULIO
1097,Mar-23,35.8,27.1,31.45,MORON AERO
732,Mar-23,35.5,26.6,31.05,EL PALOMAR AERO
367,Mar-23,35.0,27.0,31.0,BUENOS AIRES OBSERVATORIO
2,Mar-23,31.8,26.4,29.1,AEROPARQUE AERO
1461,Mar-23,31.8,22.9,27.35,NUEVE DE JULIO
1096,Mar-23,37.0,26.8,31.9,MORON AERO
731,Mar-23,37.0,26.9,31.95,EL PALOMAR AERO
366,Mar-23,37.0,27.6,32.3,BUENOS AIRES OBSERVATORIO
1,Mar-23,35.1,27.4,31.25,AEROPARQUE AERO
1460,Mar-23,32.6,21.8,27.200000000000003,NUEVE DE JULIO
1095,Mar-23,31.4,25.9,28.65,MORON AERO
730,Mar-23,30.8,24.2,27.5,EL PALOMAR AERO
365,Mar-23,30.6,26.6,28.6,BUENOS AIRES OBSERVATORIO
0,Mar-23,30.6,24.5,27.55,AEROPARQUE AERO
